IP;MAC;model;device_id;Shelly_ID;UV;UV_Position;UV_Klemme;desired_device_name;channel;output;target_room;target_type;cable;wire;position_in_frame;SD_Nr_Vorschlag;SD_Nr_Bestaetigt;location_short;desired_channel_name;Aufkleber_Steckdose;Ptouch_Drucken;Pruefstatus;Hinweis
;;SPSW-204PE16EU;;1;Flur;Rechts;1;SH-4PM-01-UV-FL-R;0;O1;WC;Lüfter;WC-Lüfter;Br;;;;LUEFTER;WC-01-0-LUEFTER;;NEIN;ZUORDNUNG AUS VERKABELUNG;
;;SPSW-204PE16EU;;1;Flur;Rechts;2;SH-4PM-01-UV-FL-R;1;O2;FL;Steckdose;Flur-SD-HWR;Br;A;1;;HWR;FL-01-1-SD01-A-HWR;FL-SD01-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;1;Flur;Rechts;3;SH-4PM-01-UV-FL-R;2;O3;FL;Steckdose;Flur-SD-HWR;Sw;B;1;;HWR;FL-01-2-SD01-B-HWR;FL-SD01-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;1;Flur;Rechts;;SH-4PM-01-UV-FL-R;3;O4;;FREE;;;;;;;FL-01-3-FREE;;NEIN;FREI;Ausgang laut Verkabelungsliste nicht belegt.
;;SPSW-204PE16EU;;2;Flur;Rechts;4;SH-4PM-02-UV-FL-R;0;O1;FL;Steckdose;Flur-SD-EZ;Br;A;2;;EZ;FL-02-0-SD02-A-EZ;FL-SD02-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;2;Flur;Rechts;5;SH-4PM-02-UV-FL-R;1;O2;FL;Steckdose;Flur-SD-EZ;Sw;B;2;;EZ;FL-02-1-SD02-B-EZ;FL-SD02-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;2;Flur;Rechts;6;SH-4PM-02-UV-FL-R;2;O3;FL;Steckdose;Flur-SD-Kü;Br;A;3;;KUE;FL-02-2-SD03-A-KUE;FL-SD03-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;2;Flur;Rechts;7;SH-4PM-02-UV-FL-R;3;O4;FL;Steckdose;Flur-SD-Kü;Sw;B;3;;KUE;FL-02-3-SD03-B-KUE;FL-SD03-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;11;Flur;Links;38;SH-4PM-11-UV-FL-L;0;O1;EZ;Steckdose;EZ-SD-FLUR;Br;A;1;;FLUR;EZ-11-0-SD01-A-FLUR;EZ-SD01-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;11;Flur;Links;39;SH-4PM-11-UV-FL-L;1;O2;EZ;Steckdose;EZ-SD-FLUR;Sw;B;1;;FLUR;EZ-11-1-SD01-B-FLUR;EZ-SD01-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;11;Flur;Links;41;SH-4PM-11-UV-FL-L;2;O3;EZ;Steckdose;EZ-SD-MEL;Br;A;2;;MEL;EZ-11-2-SD02-A-MEL;EZ-SD02-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;11;Flur;Links;42;SH-4PM-11-UV-FL-L;3;O4;EZ;Steckdose;EZ-SD-MEL;Sw;B;2;;MEL;EZ-11-3-SD02-B-MEL;EZ-SD02-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;12;Flur;Links;43;SH-4PM-12-UV-FL-L;0;O1;EZ;Steckdose;EZ-SD-MEL;Gr;C;2;;MEL;EZ-12-0-SD02-C-MEL;EZ-SD02-C;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;12;Flur;Links;44;SH-4PM-12-UV-FL-L;1;O2;EZ;Steckdose;EZ-SD-NB;Br;A;3;;NB;EZ-12-1-SD03-A-NB;EZ-SD03-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;12;Flur;Links;45;SH-4PM-12-UV-FL-L;2;O3;EZ;Steckdose;EZ-SD-NB;Sw;B;3;;NB;EZ-12-2-SD03-B-NB;EZ-SD03-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
;;SPSW-204PE16EU;;12;Flur;Links;46;SH-4PM-12-UV-FL-L;3;O4;EZ;Steckdose;EZ-SD-NB;Gr;C;3;;NB;EZ-12-3-SD03-C-NB;EZ-SD03-C;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen.
192.168.178.138;5C:01:3B:04:EF:1C;SPSW-204PE16EU;shellypro4pm-5c013b04ef1c;15;Küche;Rechts;1;SH-4PM-15-UV-KU-R;0;O1;WZ;Deckenlampe;WZ-LED-Spots;Br;;;;WZ-LED-SPOTS;WZ-15-0-WZ-LED-SPOTS;;NEIN;ZUORDNUNG AUS VERKABELUNG;IP-Zuordnung durch eindeutigen Ausschluss.
192.168.178.138;5C:01:3B:04:EF:1C;SPSW-204PE16EU;shellypro4pm-5c013b04ef1c;15;Küche;Rechts;2;SH-4PM-15-UV-KU-R;1;O2;WZ;Deckenlampe;WZ-LED-Innen;Br;;;;WZ-LED-INNEN;WZ-15-1-WZ-LED-INNEN;;NEIN;ZUORDNUNG AUS VERKABELUNG;IP-Zuordnung durch eindeutigen Ausschluss.
192.168.178.138;5C:01:3B:04:EF:1C;SPSW-204PE16EU;shellypro4pm-5c013b04ef1c;15;Küche;Rechts;3;SH-4PM-15-UV-KU-R;2;O3;WZ;Deckenlampe;WZ-LED-Ring;Br;;;;WZ-LED-RING;WZ-15-2-WZ-LED-RING;;NEIN;ZUORDNUNG AUS VERKABELUNG;IP-Zuordnung durch eindeutigen Ausschluss.
192.168.178.138;5C:01:3B:04:EF:1C;SPSW-204PE16EU;shellypro4pm-5c013b04ef1c;15;Küche;Rechts;;SH-4PM-15-UV-KU-R;3;O4;;FREE;;;;;;;KU-15-3-FREE;;NEIN;FREI;Ausgang laut Verkabelungsliste nicht belegt. IP-Zuordnung durch eindeutigen Ausschluss.
192.168.178.161;14:33:5C:C5:5C:BC;SPSW-204PE16EU;shellypro4pm-14335cc55cbc;19;Küche;Rechts;23;SH-4PM-19-UV-KU-R;0;O1;WZ;Steckdose;WZ-SD-NB-STR;Br;A;1;;NB-STR;WZ-19-0-SD01-A-NB-STR;WZ-SD01-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.161;14:33:5C:C5:5C:BC;SPSW-204PE16EU;shellypro4pm-14335cc55cbc;19;Küche;Rechts;24;SH-4PM-19-UV-KU-R;1;O2;WZ;Steckdose;WZ-SD-NB-STR;Sw;B;1;;NB-STR;WZ-19-1-SD01-B-NB-STR;WZ-SD01-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.161;14:33:5C:C5:5C:BC;SPSW-204PE16EU;shellypro4pm-14335cc55cbc;19;Küche;Rechts;25;SH-4PM-19-UV-KU-R;2;O3;WZ;Steckdose;WZ-SD-NB-STR;Gr;C;1;;NB-STR;WZ-19-2-SD01-C-NB-STR;WZ-SD01-C;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.161;14:33:5C:C5:5C:BC;SPSW-204PE16EU;shellypro4pm-14335cc55cbc;19;Küche;Rechts;26;SH-4PM-19-UV-KU-R;3;O4;WZ;Steckdose;WZ-SD-EZ-LS-NB;Br;A;2;;EZ-LS-NB;WZ-19-3-SD02-A-EZ-LS-NB;WZ-SD02-A;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.158;5C:01:3B:04:CA:20;SPSW-204PE16EU;shellypro4pm-5c013b04ca20;20;Küche;Rechts;27;SH-4PM-20-UV-KU-R;0;O1;WZ;Steckdose;WZ-SD-EZ-LS-NB;Sw;B;2;;EZ-LS-NB;WZ-20-0-SD02-B-EZ-LS-NB;WZ-SD02-B;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
192.168.178.158;5C:01:3B:04:CA:20;SPSW-204PE16EU;shellypro4pm-5c013b04ca20;20;Küche;Rechts;28;SH-4PM-20-UV-KU-R;1;O2;WZ;Steckdose;WZ-SD-EZ-LS-NB;Gr;C;2;;EZ-LS-NB;WZ-20-1-SD02-C-EZ-LS-NB;WZ-SD02-C;NEIN;SD-NUMMER PRUEFEN;Die SD-Nummer ist nur aus der Reihenfolge der Verkabelungsliste abgeleitet. Vor dem Druck beim Rundgang ab Tür bestätigen. IP-Zuordnung vom Nutzer bestätigt.
