ip	mac	model	device_id	shelly_id	current_device_name	desired_device_name	channel_0_type	current_channel_0_name	desired_channel_0_name	channel_1_type	current_channel_1_name	desired_channel_1_name	channel_2_type	current_channel_2_name	desired_channel_2_name	channel_3_type	current_channel_3_name	desired_channel_3_name	firmware	status_hinweis
192.168.178.121	EC:62:60:8B:7E:6C	SPSW-202PE16EU	shellypro2pm-ec62608b7e6c	4	SH-2PM-EG-FL-B	SH-2PM-EG-FL-B	switch	2PM-04-0-FREE	2PM-04-0-FREE	switch	2PM-04-1-FREE	2PM-04-1-FREE							20260311-095848/1.7.5-g9979d16	Angewendet und verifiziert am 20260725-233542; shelly_id nur Dokumentation.
192.168.178.122	EC:62:60:A0:11:2C	SPSW-202PE16EU	shellypro2pm-ec6260a0112c	5	SH-2PM-EG-FL-C	SH-2PM-EG-FL-C	switch	2PM-05-0-FREE	2PM-05-0-FREE	switch	2PM-05-1-FREE	2PM-05-1-FREE							20260311-095848/1.7.5-g9979d16	Angewendet und verifiziert am 20260725-233542; shelly_id nur Dokumentation.
192.168.178.123	EC:62:60:88:5A:28	SPSW-202PE16EU	shellypro2pm-ec6260885a28	3	SH-2PM-EG-FL-A	SH-2PM-EG-FL-A	switch	FL-A-0-DL-DEF	FL-A-0-DL-DEF	switch	2PM-03-1-FREE	2PM-03-1-FREE							20260311-095848/1.7.5-g9979d16	Angewendet und verifiziert am 20260725-233542; shelly_id nur Dokumentation.
192.168.178.125	AC:15:18:7B:6D:70	SPDM-002PE01EU	shellyprodm2pm-ac15187b6d70	24	SH-DI-EG-HWR-A	SH-DI-EG-HWR-A	light	HWR-A-0-DL	HWR-A-0-DL	light	DI-24-1-FREE	DI-24-1-FREE							20260311-095853/1.7.5-g9979d16	Angewendet und verifiziert am 20260725-233542; shelly_id nur Dokumentation.
192.168.178.127	AC:15:18:7A:F3:38	SPDM-002PE01EU	shellyprodm2pm-ac15187af338	6	SH-DI-EG-ME-A	SH-DI-EG-ME-A	light	ME-A-0-DL	ME-A-0-DL	light	DI-06-1-FREE	DI-06-1-FREE							20260311-095853/1.7.5-g9979d16	Angewendet und verifiziert am 20260725-233542; shelly_id nur Dokumentation.
192.168.178.128				101		SH-PRO2-EG-FL-SUM														TEMP-ID 101: Gerät bleibt vorerst offline. Modell, MAC, technische Geräte-ID, Kanaltypen, Kanalnamen und Firmware später erfassen. Nicht automatisch benennen. Lauf 20260725-233542: übersprungen: technische Daten oder Kanaltypen unvollständig.
192.168.178.129	2C:BC:BB:B0:F6:D4	SPSH-002PE16EU	shellypro2cover-2cbcbbb0f6d4	7	SH-CO-EG-ME-A	SH-CO-EG-ME-A	cover	ME-A-0-CO-NB	ME-A-0-CO-NB	cover	ME-A-1-CO-STR	ME-A-1-CO-STR							20260311-095905/1.7.5-g9979d16	Angewendet und verifiziert am 20260725-233542; shelly_id nur Dokumentation.
192.168.178.131	2C:BC:BB:B1:04:C0	SPSH-002PE16EU	shellypro2cover-2cbcbbb104c0	100	SH-CO-OG-SZ-A	SH-CO-OG-SZ-A	cover	SZ-A-0-CO-NB	SZ-A-0-CO-NB	cover	SZ-A-1-CO-GAR	SZ-A-1-CO-GAR							20260311-095905/1.7.5-g9979d16	Angewendet und verifiziert am 20260725-233542; shelly_id nur Dokumentation.
192.168.178.133	AC:15:18:7B:13:8C	SPDM-002PE01EU	shellyprodm2pm-ac15187b138c	13	SH-DI-EG-AD-A	SH-DI-EG-AD-A	light	AD-A-0-DL	AD-A-0-DL	light	DI-13-1-FREE	DI-13-1-FREE							20260311-095853/1.7.5-g9979d16	Angewendet und verifiziert am 20260725-233542; shelly_id nur Dokumentation.
192.168.178.135	2C:BC:BB:B1:22:04	SPSH-002PE16EU	shellypro2cover-2cbcbbb12204	14	SH-CO-EG-AD-A	SH-CO-EG-AD-A	cover	AD-A-0-CO-STR	AD-A-0-CO-STR	cover	CO-14-1-FREE	CO-14-1-FREE							20260311-095905/1.7.5-g9979d16	Angewendet und verifiziert am 20260725-233542; shelly_id nur Dokumentation.
