ip;mac;model;device_id;current_device_name;desired_device_name;channel_0_type;current_channel_0_name;desired_channel_0_name;channel_1_type;current_channel_1_name;desired_channel_1_name;channel_2_type;current_channel_2_name;desired_channel_2_name;channel_3_type;current_channel_3_name;desired_channel_3_name;firmware
192.168.178.121;EC:62:60:8B:7E:6C;SPSW-202PE16EU;shellypro2pm-ec62608b7e6c;;;switch;;;switch;;;;;;;;;20260311-095848/1.7.5-g9979d16
192.168.178.122;EC:62:60:A0:11:2C;SPSW-202PE16EU;shellypro2pm-ec6260a0112c;;;switch;;;switch;;;;;;;;;20260311-095848/1.7.5-g9979d16
192.168.178.123;EC:62:60:88:5A:28;SPSW-202PE16EU;shellypro2pm-ec6260885a28;UV-Flur-R-3;;switch;Flur-Deckenlampe;;switch;Flur-Szenario;;;;;;;;20260311-095848/1.7.5-g9979d16
192.168.178.125;AC:15:18:7B:6D:70;SPDM-002PE01EU;shellyprodm2pm-ac15187b6d70;;;light;;;light;;;;;;;;;20260311-095853/1.7.5-g9979d16
192.168.178.127;AC:15:18:7A:F3:38;SPDM-002PE01EU;shellyprodm2pm-ac15187af338;;;light;;;light;;;;;;;;;20260311-095853/1.7.5-g9979d16
192.168.178.129;2C:BC:BB:B0:F6:D4;SPSH-002PE16EU;shellypro2cover-2cbcbbb0f6d4;;;cover;;;cover;;;;;;;;;20260311-095905/1.7.5-g9979d16
192.168.178.131;2C:BC:BB:B1:04:C0;SPSH-002PE16EU;shellypro2cover-2cbcbbb104c0;;;cover;;;cover;;;;;;;;;20260311-095905/1.7.5-g9979d16
192.168.178.133;AC:15:18:7B:13:8C;SPDM-002PE01EU;shellyprodm2pm-ac15187b138c;;;light;;;light;;;;;;;;;20260311-095853/1.7.5-g9979d16
192.168.178.135;2C:BC:BB:B1:22:04;SPSH-002PE16EU;shellypro2cover-2cbcbbb12204;;;cover;;;cover;;;;;;;;;20260311-095905/1.7.5-g9979d16
192.168.178.137;2C:BC:BB:B0:CB:B8;SPSH-002PE16EU;shellypro2cover-2cbcbbb0cbb8;EZ-Cover;;cover;EZ-Cover;;cover;EZ-Cover-Off;;;;;;;;20260311-095905/1.7.5-g9979d16
192.168.178.138;5C:01:3B:04:EF:1C;SPSW-204PE16EU;shellypro4pm-5c013b04ef1c;TEST-SH138;;switch;TEST-O1;;switch;;;switch;;;switch;;;20260311-095905/1.7.5-g9979d16
192.168.178.139;2C:BC:BB:B0:B9:34;SPSH-002PE16EU;shellypro2cover-2cbcbbb0b934;;;cover;;;cover;;;;;;;;;20260311-095905/1.7.5-g9979d16
192.168.178.141;2C:BC:BB:B1:22:1C;SPSH-002PE16EU;shellypro2cover-2cbcbbb1221c;;;cover;;;cover;;;;;;;;;20260311-095905/1.7.5-g9979d16
192.168.178.143;EC:E3:34:E9:4C:5C;SPSW-204PE16EU;shellypro4pm-ece334e94c5c;;;switch;;;switch;;;switch;;;switch;;;20260311-095905/1.7.5-g9979d16
192.168.178.146;EC:62:60:89:61:60;SPSW-202PE16EU;shellypro2pm-ec6260896160;;;switch;;;switch;;;;;;;;;20260311-095848/1.7.5-g9979d16
192.168.178.157;EC:E3:34:E5:56:84;SPSW-204PE16EU;shellypro4pm-ece334e55684;;;switch;;;switch;;;switch;;;switch;;;20260311-095905/1.7.5-g9979d16
192.168.178.158;5C:01:3B:04:CA:20;SPSW-204PE16EU;shellypro4pm-5c013b04ca20;;;switch;;;switch;;;switch;;;switch;;;20260311-095905/1.7.5-g9979d16
192.168.178.159;EC:E3:34:E5:66:84;SPSW-204PE16EU;shellypro4pm-ece334e56684;;;switch;;;switch;;;switch;;;switch;;;20260311-095905/1.7.5-g9979d16
192.168.178.160;14:33:5C:C5:57:68;SPSW-204PE16EU;shellypro4pm-14335cc55768;;;switch;;;switch;;;switch;;;switch;;;20260311-095905/1.7.5-g9979d16
192.168.178.161;14:33:5C:C5:5C:BC;SPSW-204PE16EU;shellypro4pm-14335cc55cbc;;;switch;;;switch;;;switch;;;switch;;;20260311-095905/1.7.5-g9979d16
